Modelo,Capa,Filtro_Idx,Kunzea_Activacion,Lepto_Activacion,Diferencia_Abs,Ratio_Activacion,Favorece,Es_Top_Discriminativo
CNN_variant1_aug,0,0,0.005896762944757938,0.004310493357479572,0.001586269587278366,0.7309931439947351,Kunzea,False
CNN_variant1_aug,0,1,-0.0131872883066535,-0.006277651991695166,0.006909636314958334,0.47603812803058676,Lepto,False
CNN_variant1_aug,0,2,0.028031613677740097,0.014587003737688065,0.013444609940052032,0.5203768806657718,Kunzea,False
CNN_variant1_aug,0,3,0.05274881422519684,0.02756642736494541,0.025182386860251427,0.5225980473228873,Kunzea,True
CNN_variant1_aug,0,4,-0.0055915070697665215,-0.0023492297623306513,0.00324227730743587,0.42014250809898307,Lepto,False
CNN_variant1_aug,0,5,0.0009648063569329679,0.0010563929099589586,9.158655302599072e-05,1.0949272803554153,Lepto,False
CNN_variant1_aug,0,6,-0.019355518743395805,-0.010041497647762299,0.009314021095633507,0.518792486668318,Lepto,False
CNN_variant1_aug,0,7,0.0023093735799193382,0.0009094190318137407,0.0013999545481055975,0.3937946637745975,Kunzea,False
CNN_variant1_aug,0,8,-0.004630773328244686,-0.0025847512297332287,0.0020460220985114574,0.5581683883736602,Lepto,False
CNN_variant1_aug,0,9,0.0067878710106015205,0.007217067759484053,0.0004291967488825321,1.0632299349662369,Lepto,False
CNN_variant1_aug,0,10,-0.013181124813854694,-0.004609237890690565,0.008571887388825417,0.3496847189258281,Lepto,False
CNN_variant1_aug,0,11,-0.02105226367712021,-0.011789207346737385,0.009263056330382824,0.5599971377685962,Lepto,False
CNN_variant1_aug,0,12,0.009510013274848461,0.005360367242246866,0.004149646032601595,0.5636550687114341,Kunzea,False
CNN_variant1_aug,0,13,0.00047498446656391025,-0.002155250171199441,0.002630234695971012,-4.537516211928219,Kunzea,False
CNN_variant1_aug,0,14,0.0020018224604427814,0.00253490568138659,0.0005330832209438086,1.26629888756269,Lepto,False
CNN_variant1_aug,0,15,-0.0027554756961762905,-0.001988055882975459,0.0007674198132008314,0.721492828945478,Lepto,False
CNN_variant1_aug,0,16,0.041110679507255554,0.021406596526503563,0.01970408298075199,0.5207064619463393,Kunzea,False
CNN_variant1_aug,0,17,-0.015251252800226212,-0.008689823560416698,0.006561429239809513,0.5697776917884134,Lepto,False
CNN_variant1_aug,0,18,0.0034996643662452698,0.002057728823274374,0.0014419355429708958,0.5879788885824463,Kunzea,False
CNN_variant1_aug,0,19,-0.06398946791887283,-0.034110695123672485,0.029878772795200348,0.5330673357094555,Lepto,True
CNN_variant1_aug,0,20,0.006739423144608736,0.0037194949109107256,0.0030199282336980104,0.5519010716363852,Kunzea,False
CNN_variant1_aug,0,21,-0.00201238552108407,0.00023468947620131075,0.0022470750845968723,-0.11662252853873477,Lepto,False
CNN_variant1_aug,0,22,0.007808065973222256,0.004100780934095383,0.003707285039126873,0.5251980318351815,Kunzea,False
CNN_variant1_aug,0,23,0.05846564844250679,0.030693378299474716,0.027772270143032074,0.524981404715958,Kunzea,True
CNN_variant1_aug,0,24,-0.027722757309675217,-0.015281950123608112,0.012440807186067104,0.5512420719204195,Lepto,False
CNN_variant1_aug,0,25,0.09056752175092697,0.047226402908563614,0.04334111884236336,0.5214496537323577,Kunzea,True
CNN_variant1_aug,0,26,-0.027104122564196587,-0.014781198464334011,0.012322924099862576,0.5453487189581347,Lepto,False
CNN_variant1_aug,0,27,0.002452646382153034,0.001129792188294232,0.0013228541938588023,0.4606420845871166,Kunzea,False
CNN_variant1_aug,0,28,-0.005858976859599352,-0.003799085970968008,0.002059890888631344,0.6484214098892921,Lepto,False
CNN_variant1_aug,0,29,-0.0020854405593127012,0.00014047612785361707,0.002225916599854827,-0.06736041167049853,Lepto,False
CNN_variant1_aug,0,30,1.5204477676888928e-05,0.0004428676620591432,0.00042766318074427545,29.12725834748474,Lepto,False
CNN_variant1_aug,0,31,0.05721413716673851,0.029805080965161324,0.027409056201577187,0.520939096332202,Kunzea,True
