Modelo,Capa,Filtro_Idx,Kunzea_Activacion,Lepto_Activacion,Diferencia_Abs,Ratio_Activacion,Favorece,Es_Top_Discriminativo
CNN_variant2_normal,3,0,-0.11884802579879761,-0.14560098946094513,0.026752963662147522,1.2251022985434261,Kunzea,False
CNN_variant2_normal,3,1,-0.029422864317893982,0.027806341648101807,0.05722920596599579,-0.9450589664615636,Lepto,False
CNN_variant2_normal,3,2,-0.08155535906553268,-0.041624415665864944,0.03993094339966774,0.5103823487976609,Lepto,False
CNN_variant2_normal,3,3,-0.028313854709267616,0.07866363227367401,0.10697748512029648,-2.77827351165129,Lepto,False
CNN_variant2_normal,3,4,0.003922475501894951,0.0007754028192721307,0.0031470726244151592,0.19768199932143188,Kunzea,False
CNN_variant2_normal,3,5,-0.42571142315864563,-0.3318369388580322,0.0938744843006134,0.7794879838409191,Lepto,False
CNN_variant2_normal,3,6,0.022019490599632263,-0.0010120572987943888,0.02303154766559601,-0.04596188497726201,Kunzea,False
CNN_variant2_normal,3,7,0.18890522420406342,0.16686822474002838,0.022036999464035034,0.8833436203513139,Kunzea,False
CNN_variant2_normal,3,8,0.1986236870288849,0.22192329168319702,0.023299604654312134,1.117305266512313,Lepto,False
CNN_variant2_normal,3,9,0.2077130824327469,0.2239045947790146,0.0161915123462677,1.077951335798577,Lepto,False
CNN_variant2_normal,3,10,0.16344104707241058,0.16048994660377502,0.002951100468635559,0.9819439448064566,Kunzea,False
CNN_variant2_normal,3,11,0.11913764476776123,0.09432660788297653,0.0248110368847847,0.7917447754458794,Kunzea,False
CNN_variant2_normal,3,12,-0.3670096695423126,-0.3476116359233856,0.019398033618927002,0.9471457154019861,Lepto,False
CNN_variant2_normal,3,13,0.3592856824398041,0.3399129807949066,0.01937270164489746,0.9460799506177059,Kunzea,False
CNN_variant2_normal,3,14,-0.06431935727596283,0.07230962067842484,0.13662898540496826,-1.1242279751117925,Lepto,True
CNN_variant2_normal,3,15,-0.06513986736536026,-0.020045550540089607,0.0450943186879158,0.30773090860670704,Lepto,False
CNN_variant2_normal,3,16,-0.17060674726963043,-0.1476481705904007,0.022958576679229736,0.8654298440119573,Lepto,False
CNN_variant2_normal,3,17,0.292019784450531,0.24905551970005035,0.04296426475048065,0.8528720753745843,Kunzea,False
CNN_variant2_normal,3,18,-0.4248204231262207,-0.3338901996612549,0.09093022346496582,0.7859560924184819,Lepto,False
CNN_variant2_normal,3,19,-0.0765746608376503,-0.14516937732696533,0.06859471648931503,1.8957887103715017,Kunzea,False
CNN_variant2_normal,3,20,-0.23995590209960938,-0.19699662923812866,0.04295927286148071,0.8209701349144117,Lepto,False
CNN_variant2_normal,3,21,-0.0369754284620285,-0.08892116695642471,0.05194573849439621,2.404871853972659,Kunzea,False
CNN_variant2_normal,3,22,-0.2730661928653717,-0.2186838686466217,0.05438232421875,0.8008456353823439,Lepto,False
CNN_variant2_normal,3,23,-0.1362491399049759,-0.023373806849122047,0.11287533491849899,0.17155195902578774,Lepto,False
CNN_variant2_normal,3,24,0.009474716149270535,0.040437281131744385,0.030962564051151276,4.267914739384167,Lepto,False
CNN_variant2_normal,3,25,-0.022992508485913277,-0.05517573282122612,0.032183222472667694,2.3997265498457057,Kunzea,False
CNN_variant2_normal,3,26,0.03531263396143913,0.09017501026391983,0.0548623763024807,2.5536189146079473,Lepto,False
CNN_variant2_normal,3,27,0.04737801477313042,0.055118340998888016,0.007740326225757599,1.16337379576761,Lepto,False
CNN_variant2_normal,3,28,0.03182921186089516,0.08552438020706177,0.05369516834616661,2.6869776201853695,Lepto,False
CNN_variant2_normal,3,29,-0.11157575994729996,-0.12850821018218994,0.016932450234889984,1.151757427940113,Kunzea,False
CNN_variant2_normal,3,30,-0.05275201424956322,-0.0019239537650719285,0.05082806199789047,0.03647166456274274,Lepto,False
CNN_variant2_normal,3,31,0.09848898649215698,0.08482865244150162,0.013660334050655365,0.8613008964421289,Kunzea,False
CNN_variant2_normal,3,32,-0.15693366527557373,-0.10913924872875214,0.047794416546821594,0.6954482876994538,Lepto,False
CNN_variant2_normal,3,33,-0.08376891165971756,-0.019738640636205673,0.06403027474880219,0.23563205333203238,Lepto,False
CNN_variant2_normal,3,34,0.016854358837008476,0.09023387730121613,0.0733795166015625,5.353741286658035,Lepto,False
CNN_variant2_normal,3,35,0.14465683698654175,0.15392301976680756,0.009266182780265808,1.064056306406881,Lepto,False
CNN_variant2_normal,3,36,-0.05018476024270058,-0.028971364721655846,0.02121339552104473,0.5772940757169238,Lepto,False
CNN_variant2_normal,3,37,-0.03262193128466606,0.009323797188699245,0.04194572940468788,-0.28581377159798244,Lepto,False
