Modelo,Capa,Filtro_Idx,Kunzea_Activacion,Lepto_Activacion,Diferencia_Abs,Ratio_Activacion,Favorece,Es_Top_Discriminativo
CNN_variant1_normal,2,67,-0.614704430103302,-0.18140025436878204,0.43330419063568115,0.2951015895034425,Lepto,False
CNN_variant1_normal,2,68,1.1138544082641602,1.0646613836288452,0.04919302463531494,0.9558353189017214,Kunzea,False
CNN_variant1_normal,2,69,-0.33463770151138306,-0.10487564653158188,0.22976204752922058,0.3134005704953555,Lepto,False
CNN_variant1_normal,2,70,-0.4147028923034668,-0.3832027316093445,0.031500160694122314,0.9240416182613279,Lepto,False
CNN_variant1_normal,2,71,-0.9685535430908203,-0.39939579367637634,0.5691577196121216,0.41236315386661254,Lepto,False
CNN_variant1_normal,2,72,0.05639512836933136,0.53211909532547,0.4757239818572998,9.435550725180908,Lepto,False
CNN_variant1_normal,2,73,-0.7289178967475891,-0.807101309299469,0.07818341255187988,1.1072595597000128,Kunzea,False
CNN_variant1_normal,2,74,-0.45357099175453186,-0.02796507626771927,0.4256059229373932,0.06165534565098296,Lepto,False
CNN_variant1_normal,2,75,-1.6033250093460083,-1.3163564205169678,0.2869685888290405,0.8210165829921205,Lepto,False
CNN_variant1_normal,2,76,-1.786542534828186,-1.3847953081130981,0.4017472267150879,0.7751258540977242,Lepto,False
CNN_variant1_normal,2,77,-1.206131100654602,-0.7858234643936157,0.42030763626098633,0.6515240872507799,Lepto,False
CNN_variant1_normal,2,78,0.2658044099807739,0.019947921857237816,0.24585649371147156,0.07504736979787485,Kunzea,False
CNN_variant1_normal,2,79,-0.6745694279670715,-1.2031320333480835,0.528562605381012,1.7835555298618853,Kunzea,False
CNN_variant1_normal,2,80,-0.44290590286254883,0.051115624606609344,0.49402153491973877,-0.11540967119152058,Lepto,False
CNN_variant1_normal,2,81,-0.5292214155197144,-0.38422438502311707,0.1449970304965973,0.7260182105790197,Lepto,False
CNN_variant1_normal,2,82,-2.116011619567871,-1.6425518989562988,0.47345972061157227,0.7762489978052972,Lepto,False
CNN_variant1_normal,2,83,-1.8151496648788452,-1.577878713607788,0.23727095127105713,0.8692829821281068,Lepto,False
CNN_variant1_normal,2,84,-1.739916443824768,-1.165014624595642,0.574901819229126,0.6695807886622469,Lepto,False
CNN_variant1_normal,2,85,-0.499682754278183,-0.37363651394844055,0.12604624032974243,0.7477474674165054,Lepto,False
CNN_variant1_normal,2,86,0.22004912793636322,-0.08513366430997849,0.3051827847957611,-0.3868848064506309,Kunzea,False
CNN_variant1_normal,2,87,-1.8087128400802612,-1.6371195316314697,0.1715933084487915,0.905129601252422,Lepto,False
