Modelo,Exactitud_Normal,Exactitud_Aug,Mejora_Exactitud,F1_Normal,F1_Aug,Mejora_F1,Exactitud_Kunzea_Normal,Exactitud_Kunzea_Aug,Mejora_Kunzea,Exactitud_Lepto_Normal,Exactitud_Lepto_Aug,Mejora_Lepto,Desequilibrio_Normal,Desequilibrio_Aug,Mejora_Equilibrio,Equilibrio_Mejorado
NET1,0.8444444444444444,0.7916666666666666,-0.05277777777777781,0.8534031413612565,0.7910863509749304,-0.06231679038632609,0.8103448275862069,0.8218390804597702,0.011494252873563315,0.8763440860215054,0.7634408602150538,-0.11290322580645162,0.06599925843529852,0.058398220244716414,0.00760103819058211,True
NET2,0.9194444444444444,0.9305555555555556,0.011111111111111183,0.921832884097035,0.9315068493150684,0.009673965218033431,0.9195402298850575,0.9482758620689655,0.028735632183908066,0.9193548387096774,0.9139784946236559,-0.005376344086021501,0.00018539117538007854,0.034297367445309646,-0.03411197626992957,False
CNN_base,0.9416666666666667,0.9472222222222222,0.005555555555555536,0.9433962264150944,0.9482288828337875,0.0048326564186931265,0.9425287356321839,0.9597701149425287,0.017241379310344862,0.9408602150537635,0.9354838709677419,-0.005376344086021612,0.0016685205784203738,0.024286243974786847,-0.022617723396366474,False
CNN_variant1,0.9583333333333334,0.9583333333333334,0.0,0.9591280653950953,0.9584487534626038,-0.0006793119324914887,0.9712643678160919,0.9885057471264368,0.017241379310344862,0.946236559139785,0.9301075268817204,-0.016129032258064613,0.02502780867630694,0.058398220244716414,-0.033370411568409475,False
CNN_variant2,0.9416666666666667,0.9388888888888889,-0.002777777777777768,0.9418282548476454,0.9392265193370166,-0.002601735510628811,0.9712643678160919,0.9655172413793104,-0.005747126436781547,0.9139784946236559,0.9139784946236559,0.0,0.057285873192436054,0.05153874675565451,0.005747126436781547,True
