Modelo,Kunzea_Normal,Kunzea_Aug,Lepto_Normal,Lepto_Aug,Diff_Kunzea,Diff_Lepto
NET1,0.8103448275862069,0.8218390804597702,0.8763440860215054,0.7634408602150538,0.011494252873563315,-0.11290322580645162
NET2,0.9195402298850575,0.9482758620689655,0.9193548387096774,0.9139784946236559,0.028735632183908066,-0.005376344086021501
CNN_base,0.9425287356321839,0.9597701149425287,0.9408602150537635,0.9354838709677419,0.017241379310344862,-0.005376344086021612
CNN_variant1,0.9712643678160919,0.9885057471264368,0.946236559139785,0.9301075268817204,0.017241379310344862,-0.016129032258064613
CNN_variant2,0.9712643678160919,0.9655172413793104,0.9139784946236559,0.9139784946236559,-0.005747126436781547,0.0
