Modelo,Capa,Media,Desv_Std,Rango,Top_Filtros
CNN_variant2_normal,Capa 1,-0.0018564099445939064,0.11976251751184464,0.42796239256858826,"6, 2, 3"
CNN_variant2_normal,Capa 2,-0.0015753133920952678,0.05112299695611,0.25683528184890747,"3, 20, 1"
CNN_variant2_normal,Capa 3,8.055534271989018e-05,0.037929072976112366,0.24039581418037415,"62, 16, 19"
CNN_variant2_normal,Capa 4,-0.0010034219594672322,0.07412649691104889,0.3497757911682129,"82, 72, 40"
