Modelo,Fila,Columna,Valor,Favorece,Magnitud_Normalizada
NET1_aug,15,56,1.0749222040176392,Lepto,1.0
NET1_aug,51,13,1.0342795848846436,Lepto,0.9621901761996455
NET1_aug,50,13,1.002866506576538,Lepto,0.932966593143406
NET1_aug,57,13,0.9880279302597046,Lepto,0.9191622673406896
NET1_aug,82,35,0.9550004005432129,Lepto,0.888436760329068
NET1_aug,86,47,0.9274800419807434,Lepto,0.8628345739944578
NET1_aug,56,13,0.9231432676315308,Lepto,0.8588000733273365
NET1_aug,57,14,0.9144149422645569,Lepto,0.8506801132647843
NET1_aug,65,16,0.8410456776618958,Lepto,0.7824246950322504
NET1_aug,13,59,0.7881037592887878,Lepto,0.7331728345950655
NET1_aug,14,30,-0.6157621741294861,Kunzea,1.0
NET1_aug,15,30,-0.5389016270637512,Kunzea,0.8751781933107632
NET1_aug,14,29,-0.533627986907959,Kunzea,0.8666137826058549
NET1_aug,15,36,-0.5109531879425049,Kunzea,0.8297898269974905
NET1_aug,14,31,-0.5015397071838379,Kunzea,0.8145023001662508
NET1_aug,23,77,-0.48680931329727173,Kunzea,0.7905800871667421
NET1_aug,15,31,-0.4735291600227356,Kunzea,0.7690130701714053
NET1_aug,83,47,-0.4667394459247589,Kunzea,0.7579865498958209
NET1_aug,16,30,-0.43208640813827515,Kunzea,0.7017098910778717
NET1_aug,22,77,-0.42270779609680176,Kunzea,0.686478991169588
