Modelo,Media,Desv. Std.,% Cerca Cero,% Positivos,% Negativos,Rango,Sesgo
NET2_normal,-0.0022,0.0212,76.15%,44.77%,55.23%,0.5269,N/A
NET2_aug,-0.0020,0.0228,68.51%,44.79%,55.21%,0.4418,N/A
