Modelo,Neurona,Media,Desv_Std,Pct_Cerca_Cero,Tipo_Detector,Gradiente_H,Gradiente_V,Max_Pos_Ubicacion,Max_Neg_Ubicacion
NET2_normal,1,-0.0010440793121233582,0.004238500725477934,92.17999999999999,localizado,0.0021798275411128998,0.002199363661929965,"(46, 31)","(30, 53)"
NET2_normal,2,-0.0003674109175335616,0.03434054180979729,60.209999999999994,textura,0.015295066870748997,0.014345667324960232,"(77, 35)","(79, 33)"
NET2_normal,3,-0.006264209747314453,0.02731500007212162,64.62,textura,0.008756972849369049,0.008295987732708454,"(51, 60)","(37, 25)"
NET2_normal,4,-0.002637071767821908,0.03465082868933678,60.81999999999999,textura,0.014234139584004879,0.013535176403820515,"(39, 47)","(73, 25)"
NET2_normal,5,-0.0013980814255774021,0.004215090069919825,92.39,localizado,0.001967762829735875,0.0019527905387803912,"(72, 55)","(60, 65)"
NET2_normal,6,-0.0006073577678762376,0.0032758659217506647,95.65,localizado,0.0013555304612964392,0.0013466024538502097,"(60, 27)","(57, 34)"
NET2_normal,7,-0.009875915944576263,0.03439175337553024,61.8,textura,0.011210335418581963,0.010750321671366692,"(28, 56)","(63, 55)"
NET2_normal,8,0.0015753775369375944,0.0315774604678154,59.57,textura,0.014423823915421963,0.01386292465031147,"(62, 24)","(72, 47)"
NET2_normal,9,-0.0026739283930510283,0.0075526186265051365,84.32,localizado,0.002865981310606003,0.0028336127288639545,"(69, 66)","(68, 77)"
NET2_normal,10,-0.0007238495163619518,0.0040628802962601185,93.97,localizado,0.0020439999643713236,0.0020758246537297964,"(51, 44)","(48, 39)"
NET2_normal,11,-0.00630417512729764,0.0352783128619194,65.56,textura,0.012137457728385925,0.01181049644947052,"(63, 32)","(64, 78)"
NET2_normal,12,-0.0005781237850897014,0.0019843506161123514,98.94,localizado,0.0006465674377977848,0.0006745271966792643,"(51, 70)","(54, 72)"
NET2_normal,13,-0.0027715121395885944,0.007930932566523552,81.73,localizado,0.0030316486954689026,0.003033333458006382,"(28, 53)","(32, 49)"
NET2_normal,14,-0.002685427200049162,0.008808637969195843,83.02000000000001,localizado,0.0026747097726911306,0.0026493624318391085,"(35, 57)","(53, 76)"
NET2_normal,15,-0.007519840262830257,0.025472642853856087,65.89,textura,0.008822040632367134,0.008350885473191738,"(34, 35)","(77, 35)"
NET2_normal,16,0.0022295708768069744,0.022537652403116226,64.25,textura,0.007343312259763479,0.007475556805729866,"(76, 48)","(24, 73)"
NET2_normal,17,-0.006126140244305134,0.02358599565923214,64.66,textura,0.008435242809355259,0.007619719952344894,"(76, 45)","(49, 34)"
NET2_normal,18,-0.004303720314055681,0.028365910053253174,61.38,textura,0.009467126801609993,0.009355198591947556,"(62, 24)","(62, 49)"
NET2_normal,19,0.0011862079845741391,0.03359449282288551,60.370000000000005,textura,0.012580640614032745,0.01246290747076273,"(27, 53)","(66, 44)"
NET2_normal,20,0.0027458786498755217,0.03455958887934685,58.81999999999999,textura,0.013482644222676754,0.012866873294115067,"(64, 78)","(31, 80)"
NET2_normal,21,-0.002128926571458578,0.006488358601927757,85.55,localizado,0.002542856615036726,0.002596878446638584,"(79, 67)","(48, 32)"
