Modelo,Exactitud_Optimizado,Exactitud_Final,Diferencia_Porcentual,F1_Optimizado,F1_Final
NET1_normal,0.8444444444444444,0.8083333333333333,-3.6111111111111094,0.8534031413612565,0.8034188034188035
NET1_aug,0.7916666666666666,0.7555555555555555,-3.6111111111111094,0.7910863509749304,0.7232704402515723
NET2_normal,0.9194444444444444,0.9166666666666666,-0.2777777777777768,0.921832884097035,0.9166666666666666
NET2_aug,0.9305555555555556,0.9166666666666666,-1.388888888888895,0.9315068493150684,0.9171270718232044
CNN_base_normal,0.9416666666666667,0.9222222222222223,-1.9444444444444375,0.9433962264150944,0.9243243243243243
CNN_base_aug,0.9472222222222222,0.9444444444444444,-0.2777777777777768,0.9482288828337875,0.9453551912568307
CNN_variant1_normal,0.9583333333333334,0.95,-0.8333333333333415,0.9591280653950953,0.9518716577540107
CNN_variant1_aug,0.9583333333333334,0.9444444444444444,-1.388888888888895,0.9584487534626038,0.9438202247191011
CNN_variant2_normal,0.9416666666666667,0.9555555555555556,1.388888888888895,0.9418282548476454,0.9565217391304348
CNN_variant2_aug,0.9388888888888889,0.9361111111111111,-0.2777777777777768,0.9392265193370166,0.9348441926345609
