Modelo,Test_Acc_Opt,Test_Acc_Final,Diff_Acc,F1_Opt,F1_Final,Diff_F1,Precision_Opt,Precision_Final,Recall_Opt,Recall_Final
NET1_normal,0.8444444444444444,0.8083333333333333,-3.6111111111111094,0.8534031413612565,0.8034188034188035,-4.9984337942453045,0.8316326530612245,0.8545454545454545,0.8763440860215054,0.7580645161290323
NET1_aug,0.7916666666666666,0.7555555555555555,-3.6111111111111094,0.7910863509749304,0.7232704402515723,-6.781591072335813,0.8208092485549133,0.8712121212121212,0.7634408602150538,0.6182795698924731
NET2_normal,0.9194444444444444,0.9166666666666666,-0.2777777777777768,0.921832884097035,0.9166666666666666,-0.516621743036838,0.9243243243243243,0.9482758620689655,0.9193548387096774,0.8870967741935484
NET2_aug,0.9305555555555556,0.9166666666666666,-1.388888888888895,0.9315068493150684,0.9171270718232044,-1.4379777491864032,0.9497206703910615,0.9431818181818182,0.9139784946236559,0.8924731182795699
CNN_base_normal,0.9416666666666667,0.9222222222222223,-1.9444444444444375,0.9433962264150944,0.9243243243243243,-1.9071902090770032,0.9459459459459459,0.9293478260869565,0.9408602150537635,0.9193548387096774
CNN_base_aug,0.9472222222222222,0.9444444444444444,-0.2777777777777768,0.9482288828337875,0.9453551912568307,-0.2873691576956827,0.9613259668508287,0.9611111111111111,0.9354838709677419,0.9301075268817204
CNN_variant1_normal,0.9583333333333334,0.95,-0.8333333333333415,0.9591280653950953,0.9518716577540107,-0.7256407641084595,0.9723756906077348,0.9468085106382979,0.946236559139785,0.956989247311828
CNN_variant1_aug,0.9583333333333334,0.9444444444444444,-1.388888888888895,0.9584487534626038,0.9438202247191011,-1.4628528743502733,0.9885714285714285,0.9882352941176471,0.9301075268817204,0.9032258064516129
CNN_variant2_normal,0.9416666666666667,0.9555555555555556,1.388888888888895,0.9418282548476454,0.9565217391304348,1.4693484282789382,0.9714285714285714,0.967032967032967,0.9139784946236559,0.946236559139785
CNN_variant2_aug,0.9388888888888889,0.9361111111111111,-0.2777777777777768,0.9392265193370166,0.9348441926345609,-0.4382326702455752,0.9659090909090909,0.9880239520958084,0.9139784946236559,0.8870967741935484
